rank,rider,team,b,p,year,distance_km,number_of_stages,time_sec,time_gap_to_winner_sec,result_type
1,Maurice Garin,,,,1903,2428,6,340394,0,time
2,Lucien Pothier,,,,1903,2428,6,351155,10761,time
3,Fernand Augereau,,,,1903,2428,6,356558,16164,time
4,Rodolphe Muller,,,,1903,2428,6,357164,16770,time
5,Jean-Baptiste Fischer,,,,1903,2428,6,358918,18524,time
6,Marcel Kerff,,,,1903,2428,6,365858,25464,time
7,Dit Samson Julien Lootens,,,,1903,2428,6,374782,34388,time
8,Georges Pasquier,,,,1903,2428,6,381558,41164,time
9,François Beaugendre,,,,1903,2428,6,383248,42854,time
10,Alois Catteau,,,,1903,2428,6,390011,49617,time
11,Jean Dargassies,,,,1903,2428,6,393905,53511,time
12,Ferdinand Payan,,,,1903,2428,6,395067,54673,time
13,Julien Girbe,,,,1903,2428,6,409937,69543,time
14,Isidore Le Chartier,,,,1903,2428,6,412838,72444,time
15,Josef Fischer,,,,1903,2428,6,416991,76597,time
16,Alexandre Foureaux,,,,1903,2428,6,440777,100383,time
17,René Salais,,,,1903,2428,6,443408,103014,time
18,Emile Moulin,,,,1903,2428,6,505000,164606,time
19,Georges Borot,,,,1903,2428,6,511874,171480,time
20,Pierre Desvages,,,,1903,2428,6,552450,0,time
21,Arsène Millocheau,,,,1903,2428,6,559844,0,time
1,Henri Cornet (geboren Jardy),,,,1904,2428,6,345955,0,time
2,Jean-Baptiste Dortignacq,,,,1904,2428,6,354129,8174,time
3,Alois Catteau,,,,1904,2428,6,378440,32485,time
4,Jean Dargassies,,,,1904,2428,6,385825,39870,time
5,Julien Maitron,,,,1904,2428,6,407530,61575,time
6,Auguste Daumain,,,,1904,2428,6,420631,74676,time
7,Louis Colsaet,,,,1904,2428,6,424215,78260,time
8,Achille Colas,,,,1904,2428,6,429345,83390,time
9,René Saget,,,,1904,2428,6,432071,86116,time
10,Gustave Drioul,,,,1904,2428,6,450034,104079,time
11,Henri Paret,,,,1904,2428,6,455064,109109,time
12,Auguste Gauthier,,,,1904,2428,6,458387,112432,time
13,Auguste Rist,,,,1904,2428,6,464825,118870,time
14,Nicolas Damelincourt,,,,1904,2428,6,513888,167933,time
15,Antoine Deflotriere,,,,1904,2428,6,707677,0,time
1,Louis Trousselier,,,,1905,2994,11,0,0,
2,Hippolyte Aucouturier,,,,1905,2994,11,0,0,
3,Jean-Baptiste Dortignacq,,,,1905,2994,11,0,0,
4,Emile Georget,,,,1905,2994,11,0,0,
5,Lucien Mazan Dit Petit-Breton,,,,1905,2994,11,0,0,
6,Augustinn Ringeval,,,,1905,2994,11,0,0,
7,Paul Chauvet,,,,1905,2994,11,0,0,
8,Philippe Pautrat,,,,1905,2994,11,0,0,
9,Julien Gabory,,,,1905,2994,11,0,0,
10,Julien Maitron,,,,1905,2994,11,0,0,
11,Alois Catteau,,,,1905,2994,11,0,0,
12,Martin Soulie,,,,1905,2994,11,0,0,
13,Léon Leygoutte,,,,1905,2994,11,0,0,
14,Camille Fily,,,,1905,2994,11,0,0,
15,Antoine Wattelier,,,,1905,2994,11,0,0,
16,Henri Lignon,,,,1905,2994,11,0,0,
17,Maurice Decaup,,,,1905,2994,11,0,0,
18,Maurice Carrere,,,,1905,2994,11,0,0,
19,Gustave Guillarme,,,,1905,2994,11,0,0,
20,Ludo Loos,,,,1905,2994,11,0,0,
21,Pinchau,,,,1905,2994,11,0,0,
22,Eugène Ventresque,,,,1905,2994,11,0,0,
23,Fernand Lallement,,,,1905,2994,11,0,0,
24,Clovis Lacroix,,,,1905,2994,11,0,0,
1,René Pottier,,,,1906,4637,14,0,0,
2,Georges Passerieu,,,,1906,4637,14,0,0,
3,Louis Trousselier,,,,1906,4637,14,0,0,
4,Lucien Mazan Dit Petit-Breton,,,,1906,4637,14,0,0,
5,Emile Georget,,,,1906,4637,14,0,0,
6,Alois Catteau,,,,1906,4637,14,0,0,
7,Edouard Wattelier,,,,1906,4637,14,0,0,
8,Léon Georget,,,,1906,4637,14,0,0,
9,Eugène Christophe,,,,1906,4637,14,0,0,
10,Antoine Wattelier,,,,1906,4637,14,0,0,
11,Georges Fleury,,,,1906,4637,14,0,0,
12,Ferdinand Payan,,,,1906,4637,14,0,0,
13,Léon Winant,,,,1906,4637,14,0,0,
14,Georges Bronchard,,,,1906,4637,14,0,0,
1,Lucien Mazan Dit Petit-Breton,,,,1907,4488,14,169200,0,points
2,Gustave Garrigou,,,,1907,4488,14,237600,0,points
3,Emile Georget,,,,1907,4488,14,266400,0,points
4,Georges Passerieu,,,,1907,4488,14,306000,0,points
5,François Beaugendre,,,,1907,4488,14,442800,0,points
6,Eberado Pavesi,,,,1907,4488,14,540000,0,points
7,François Faber,,,,1907,4488,14,561600,0,points
8,Augustinn Ringeval,,,,1907,4488,14,662400,0,points
9,Alois Catteau,,,,1907,4488,14,680400,0,points
10,Ferdinand Payan,,,,1907,4488,14,817200,0,points
11,Pierre Privat,,,,1907,4488,14,903600,0,points
12,Georges Fleury,,,,1907,4488,14,986400,0,points
13,François Lafourcade,,,,1907,4488,14,1076400,0,points
14,Marius Vilette,,,,1907,4488,14,1198800,0,points
15,Alzir Vivier,,,,1907,4488,14,1224000,0,points
16,Gaston Tuvache,,,,1907,4488,14,1252800,0,points
17,Eugène Delhaye,,,,1907,4488,14,1360800,0,points
18,Baptiste Roux,,,,1907,4488,14,1400400,0,points
19,Philippe Pautrat,,,,1907,4488,14,1414800,0,points
20,Henri Timmermann,,,,1907,4488,14,1479600,0,points
21,Georges Bronchard,,,,1907,4488,14,1490400,0,points
22,Marceau Narcy,,,,1907,4488,14,1497600,0,points
23,Honoré Genin,,,,1907,4488,14,1562400,0,points
24,Edouard Wattelier,,,,1907,4488,14,1569600,0,points
25,Albert Baudet,,,,1907,4488,14,1580400,0,points
26,Alfred Le Bars,,,,1907,4488,14,1724400,0,points
27,Alfred Quenon,,,,1907,4488,14,1753200,0,points
28,Louis Lorillon,,,,1907,4488,14,1767600,0,points
29,René Fleury,,,,1907,4488,14,1782000,0,points
30,Octave Noel,,,,1907,4488,14,1818000,0,points
31,Albert Geraud,,,,1907,4488,14,1854000,0,points
32,Marcel Dozol,,,,1907,4488,14,1879200,0,points
33,Albert Chartier,,,,1907,4488,14,2044800,0,points
1,Lucien Mazan Dit Petit-Breton,,,,1908,4488,15,0,0,
2,François Faber,,,,1908,4488,15,0,0,
3,Georges Passerieu,,,,1908,4488,15,0,0,
4,Gustave Garrigou,,,,1908,4488,15,0,0,
5,Luigi Ganna,,,,1908,4488,15,0,0,
6,Georges Paulmier,,,,1908,4488,15,0,0,
7,Georges Fleury,,,,1908,4488,15,0,0,
8,Henri Cornet (geboren Jardy),,,,1908,4488,15,0,0,
9,Marcel Godivier,,,,1908,4488,15,0,0,
10,Giovanni Rossignoli,,,,1908,4488,15,0,0,
11,Paul Duboc,,,,1908,4488,15,0,0,
12,Clemente Canepari,,,,1908,4488,15,0,0,
13,Omer Beaugendre,,,,1908,4488,15,0,0,
14,Paul Chauvet,,,,1908,4488,15,0,0,
15,Eugène Forestier,,,,1908,4488,15,0,0,
16,Achille Germain,,,,1908,4488,15,0,0,
17,André Pottier,,,,1908,4488,15,0,0,
18,"Ernest, Dit ''faber Ernest'' Paul",,,,1908,4488,15,0,0,
19,Aldo Bettini,,,,1908,4488,15,0,0,
20,Giovanni Gerbi,,,,1908,4488,15,0,0,
21,Alois Catteau,,,,1908,4488,15,0,0,
22,Marceau Narcy,,,,1908,4488,15,0,0,
23,Martin Soulie,,,,1908,4488,15,0,0,
24,Ferdinand Payan,,,,1908,4488,15,0,0,
25,Noël Combelles,,,,1908,4488,15,0,0,
26,Gonzales,,,,1908,4488,15,0,0,
27,Alexandre Bodinier,,,,1908,4488,15,0,0,
28,Edouard Wattelier,,,,1908,4488,15,0,0,
29,Georges Bronchard,,,,1908,4488,15,0,0,
30,Robert Lecointe,,,,1908,4488,15,0,0,
31,Antoine Wattelier,,,,1908,4488,15,0,0,
32,Eloi Guichard,,,,1908,4488,15,0,0,
33,Léon Rabot,,,,1908,4488,15,0,0,
34,Jean Darche,,,,1908,4488,15,0,0,
35,Louis Di Maria,,,,1908,4488,15,0,0,
36,Henri Anthoine,,,,1908,4488,15,0,0,
1,François Faber,,,,1909,4497,14,133200,0,points
2,Gustave Garrigou,,,,1909,4497,14,205200,0,points
3,Jean Alavoine,,,,1909,4497,14,237600,0,points
4,Paul Duboc,,,,1909,4497,14,252000,0,points
5,Cyrille Van Hauwaert,,,,1909,4497,14,331200,0,points
6,"Ernest, Dit ''faber Ernest'' Paul",,,,1909,4497,14,342000,0,points
7,Constant Menager,,,,1909,4497,14,367200,0,points
8,Louis Trousselier,,,,1909,4497,14,410400,0,points
9,Eugène Christophe,,,,1909,4497,14,500400,0,points
10,Aldo Bettini,,,,1909,4497,14,511200,0,points
11,Julien Maitron,,,,1909,4497,14,532800,0,points
12,Georges Fleury,,,,1909,4497,14,547200,0,points
13,Alfred Faure,,,,1909,4497,14,738000,0,points
14,Mario Gajoni,,,,1909,4497,14,756000,0,points
15,Attilio Zavatti,,,,1909,4497,14,867600,0,points
16,Jules Deloffre,,,,1909,4497,14,907200,0,points
17,Joseph Habierre,,,,1909,4497,14,1065600,0,points
18,Ildebrando Gamberini,,,,1909,4497,14,1098000,0,points
19,Alfred Le Bars,,,,1909,4497,14,1141200,0,points
20,Emile Lachaise,,,,1909,4497,14,1177200,0,points
21,Lucien Leman,,,,1909,4497,14,1227600,0,points
22,Léon Rabot,,,,1909,4497,14,1234800,0,points
23,Georges Oudin,,,,1909,4497,14,1242000,0,points
24,Amédée Dutiron,,,,1909,4497,14,1263600,0,points
26,Pierre Langlade,,,,1909,4497,14,1454400,0,points
27,Angelo Magnanoli,,,,1909,4497,14,1465200,0,points
28,Antoine Wattelier,,,,1909,4497,14,1479600,0,points
29,Alfred Vaidis,,,,1909,4497,14,1620000,0,points
30,Henri Alavoine,,,,1909,4497,14,1681200,0,points
31,Paul Boillat,,,,1909,4497,14,1695600,0,points
32,Amleto Belloni,,,,1909,4497,14,1717200,0,points
33,René Chaude,,,,1909,4497,14,1724400,0,points
34,Joseph Leblanc,,,,1909,4497,14,1731600,0,points
35,Auguste Denizot,,,,1909,4497,14,1742400,0,points
36,Auguste Dufour,,,,1909,4497,14,1767600,0,points
37,Antoine Faure,,,,1909,4497,14,1782000,0,points
38,Albert Lagarnier,,,,1909,4497,14,1864800,0,points
39,Rodolphe Meili,,,,1909,4497,14,1972800,0,points
40,Louis Gardent,,,,1909,4497,14,1976400,0,points
41,Roger Riviere,,,,1909,4497,14,2001600,0,points
42,François Roche,,,,1909,4497,14,2019600,0,points
43,Lucien Colin,,,,1909,4497,14,2048400,0,points
44,André Herbelin,,,,1909,4497,14,2062800,0,points
45,Jean Perruca,,,,1909,4497,14,2084400,0,points
46,Eugène Leroy,,,,1909,4497,14,2147483,0,points
47,Camille Mathieu,,,,1909,4497,14,2147483,0,points
48,Charles Ponson,,,,1909,4497,14,2147483,0,points
49,Paul Pietrois,,,,1909,4497,14,2147483,0,points
50,Louis Di Maria,,,,1909,4497,14,2147483,0,points
51,Henri Anthoine,,,,1909,4497,14,2147483,0,points
52,Henri Ory,,,,1909,4497,14,2147483,0,points
53,Ernest Goujon,,,,1909,4497,14,2147483,0,points
54,Alfred Guidez,,,,1909,4497,14,2147483,0,points
55,Georges Devilly,,,,1909,4497,14,2147483,0,points
1,Octave Lapize,,,,1910,4734,15,226800,0,points
2,François Faber,,,,1910,4734,15,241200,0,points
3,Gustave Garrigou,,,,1910,4734,15,309600,0,points
4,Cyrille Van Hauwaert,,,,1910,4734,15,349200,0,points
5,Charles Cruchon,,,,1910,4734,15,428400,0,points
